"campaignid","sample","family","genus","species"
"2021-05_Abrolhos_BOSS","npz6.34","Cirrhitidae","Paracirrhites","forsteri"
"2021-05_Abrolhos_BOSS","npz6.34","Scaridae","Scarus","sp3"
"2021-05_Abrolhos_BOSS","npz6.19","Nemipteridae","Pentapodus","nagasakiensis"
"2021-05_Abrolhos_BOSS","npz6.5","Nemipteridae","Pentapodus","nagasakiensis"
"2021-05_Abrolhos_BOSS","npz6.14","Labridae","Coris","caudimacula"
"2021-05_Abrolhos_BOSS","npz6.33","Labridae","Coris","caudimacula"
"2021-05_Abrolhos_BOSS","npz6.11","Labridae","Coris","caudimacula"
"2021-05_Abrolhos_BOSS","npz6.26","Labridae","Pseudojuloides","elongatus"
"2021-05_Abrolhos_BOSS","npz6.25","SUS","SUS","sus"
"2021-05_Abrolhos_BOSS","npz6.25","Labridae","Unknown","sp3"
"2021-05_Abrolhos_BOSS","npz6.42","Nemipteridae","Pentapodus","nagasakiensis"
"2021-05_Abrolhos_BOSS","npz6.24","Nemipteridae","Pentapodus","nagasakiensis"
"2021-05_Abrolhos_BOSS","npz6.24","Labridae","Unknown","sp3"
"2021-05_Abrolhos_BOSS","npz6.18","Scaridae","Scarus","sp3"
"2021-05_Abrolhos_BOSS","npz6.38","Labridae","Coris","caudimacula"
"2021-05_Abrolhos_BOSS","npz6.2","Pomacanthidae","Apolemichthys","trimaculatus"
"2021-05_Abrolhos_BOSS","npz9.43","Serranidae","Caprodon","schlegelii"
"2021-05_Abrolhos_BOSS","npz9.43","Labridae","Bodianus","solatus"
"2021-05_Abrolhos_BOSS","npz9.43","Lutjanidae","Lutjanus","sp10"
"2021-05_Abrolhos_BOSS","npz9.44","Labridae","Pseudojuloides","elongatus"
"2021-05_Abrolhos_BOSS","npz9.17","Apogonidae","Unknown","sp10"
"2021-05_Abrolhos_BOSS","npz6.19","SUS","SUS","sus"
"2021-05_Abrolhos_BOSS","npz6.11","Ginglymostomatidae","Nebrius","ferrugineus"
"2021-05_Abrolhos_BOSS","npz6.11","Carangidae","Unknown","sp10"
"2021-05_Abrolhos_BOSS","npz6.31","SUS","SUS","sus"
"2021-05_Abrolhos_BOSS","npz6.15","SUS","SUS","sus"
"2021-05_Abrolhos_BOSS","npz6.1","SUS","SUS","sus"
"2021-05_Abrolhos_BOSS","npz6.50","Scaridae","Scarus","sp3"
"2021-05_Abrolhos_BOSS","npz6.46","SUS","SUS","sus"
"2021-05_Abrolhos_BOSS","npz6.24","SUS","SUS","sus"
"2021-05_Abrolhos_BOSS","npz6.18","SUS","SUS","sus"
"2021-05_Abrolhos_BOSS","npz6.8","SUS","SUS","sus"
"2021-05_Abrolhos_BOSS","npz6.30","SUS","SUS","sus"
"2021-05_Abrolhos_BOSS","npz6.2","SUS","SUS","sus"
"2021-05_Abrolhos_BOSS","npz6.2","Lutjanidae","Lutjanus","sp10"
"2021-05_Abrolhos_BOSS","npz6.3","SUS","SUS","sus"
"2021-05_Abrolhos_BOSS","npz9.24","SUS","SUS","sus"
"2021-05_Abrolhos_BOSS","npz9.16","Carangidae","Unknown","sp10"
"2021-05_Abrolhos_BOSS","npz9.17","SUS","SUS","sus"
"2021-05_Abrolhos_BOSS","npz9.1","SUS","SUS","sus"
